name, latitude, longitude, altitude
0m, 5.557778, 95.311667, 14
400m, 5.556111, 95.315, 9
800m, 5.559167, 95.316112, 11
1200m, 5.560278, 95.318611, 12
1600m, 5.557778, 95.319167, 11
2000m, 5.556111, 95.321944, 16
