Latitude, Longitude, Altitude
5.5568810, 95.3136290, 6.3
5.5568748, 95.3136370, 6.3
5.5568681, 95.3136440, 6.2
5.5568619, 95.3136600, 5.9
5.5568566, 95.3136670, 5.6
5.5568519, 95.3136750, 5.6
5.5568490, 95.3136830, 5.1
5.5568466, 95.3137050, 4.8
5.5568442, 95.3137130, 5.1
5.5568452, 95.3137360, 5.4
5.5568438, 95.3137510, 5.6
5.5568409, 95.3137590, 6.1
5.5568357, 95.3137660, 6.6
5.5568295, 95.3137820, 6.7
5.5568247, 95.3137890, 7.0
5.5568213, 95.3137970, 7.2
5.5568161, 95.3137970, 7.2
5.5568080, 95.3138120, 7.2
5.5567985, 95.3138200, 7.6
5.5567923, 95.3138350, 7.6
5.5567851, 95.3138430, 7.8
5.5567846, 95.3138500, 8.0
5.5567794, 95.3138660, 7.9
5.5567737, 95.3138730, 7.8
5.5567703, 95.3138890, 8.0
5.5567689, 95.3138960, 7.5
5.5567641, 95.3139110, 7.2
5.5567603, 95.3139190, 7.0
5.5567570, 95.3139270, 6.7
5.5567532, 95.3139420, 6.4
5.5567517, 95.3139500, 5.9
5.5567479, 95.3139650, 5.5
5.5567417, 95.3139800, 5.6
5.5567374, 95.3139880, 5.5
5.5567336, 95.3139950, 5.3
5.5567312, 95.3140110, 5.5
5.5567279, 95.3140260, 5.7
5.5567169, 95.3140490, 6.0
5.5567112, 95.3140640, 6.0
5.5567055, 95.3140720, 6.2
5.5566955, 95.3140870, 6.1
5.5566893, 95.3141020, 6.8
5.5566840, 95.3141100, 6.7
5.5566759, 95.3141330, 6.7
5.5566707, 95.3141400, 7.1
5.5566669, 95.3141480, 7.2
5.5566640, 95.3141560, 7.1
5.5566573, 95.3141630, 7.0
5.5566497, 95.3141780, 6.9
5.5566406, 95.3141940, 7.5
5.5566335, 95.3142010, 7.6
5.5566249, 95.3142090, 7.9
5.5566216, 95.3142240, 7.9
5.5566187, 95.3142320, 7.7
5.5566111, 95.3142400, 7.5
5.5566082, 95.3142550, 7.7
