name, latitude, longitude, altitude
0m, 5.4031429, 95.6404950, 351
500m, 5.4077420, 95.6401140, 448
1000m, 5.4149008, 95.6377490, 528
1500m, 5.4216671, 95.6379170, 604
2000m, 5.4270763, 95.6387020, 698
