 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  5;  9; 45.0000; 85.0000;  3099;     0;     0; 25731; 28830;0.003424;0.000000;0.003424;0.107492;1.000000;0.107492;1.000000;1.000000;1.000000;0.036803;0.036803;0.004824;0.004994;0.000000;0.070629;0.070629;0.000000;0.070629;0.070629;0.000000;0.007592;0.007592
 All;  5; 10; 45.0000; 95.0000; 11233;     0;     0; 17588; 28821;0.003424;0.000000;0.003424;0.389751;1.000000;0.389751;0.694463;1.000000;0.694463;0.133443;0.133443;0.004824;0.004994;0.005804;0.070629;0.076433;0.005804;0.070629;0.076433;0.004031;0.027528;0.031558
 All;  5; 11; 45.0000;105.0000; 12614;     0;     0; 16206; 28820;0.003424;0.000000;0.003424;0.437682;1.000000;0.437682;0.295266;1.000000;0.295266;0.149854;0.149854;0.004824;0.004994;0.236492;0.070629;0.307121;0.236492;0.070629;0.307121;0.069828;0.030913;0.100741
 All;  5; 12; 45.0000;115.0000; 26166;     0;     0;  2656; 28822;0.003424;0.000000;0.003424;0.907848;1.000000;0.907848;0.935370;1.000000;0.935370;0.310829;0.310829;0.004824;0.004994;0.289443;0.070629;0.360072;0.289443;0.070629;0.360072;0.270736;0.064120;0.334857
 All;  5; 13; 45.0000;125.0000; 27487;     0;     0;  1331; 28818;0.003424;0.000000;0.003424;0.953814;1.000000;0.953814;0.969973;1.000000;0.969973;0.326567;0.326567;0.004824;0.004994;0.195334;0.070629;0.265963;0.195334;0.070629;0.265963;0.189468;0.067367;0.256835
 All;  5; 14; 45.0000;135.0000; 12132;     0;     0; 16689; 28821;0.003424;0.000000;0.003424;0.420943;1.000000;0.420943;0.477491;1.000000;0.477491;0.144123;0.144123;0.004824;0.004994;0.172784;0.070629;0.243413;0.172784;0.070629;0.243413;0.082503;0.029731;0.112233
 All;  5; 15; 45.0000;145.0000;   652;     0;     0; 28173; 28825;0.003424;0.000000;0.003424;0.022619;1.000000;0.022619;0.023593;1.000000;0.023593;0.007744;0.007744;0.004824;0.004994;0.165174;0.070629;0.235803;0.165174;0.070629;0.235803;0.003897;0.001598;0.005494
 All;  5; 16; 45.0000;155.0000;   933;     0;     0; 27883; 28816;0.003424;0.000000;0.003424;0.032378;1.000000;0.032378;0.034484;1.000000;0.034484;0.011086;0.011086;0.004824;0.004994;0.164291;0.070629;0.234920;0.164291;0.070629;0.234920;0.005665;0.002287;0.007952
 All;  5; 17; 45.0000;165.0000;  1281;     0;     0; 27541; 28822;0.003424;0.000000;0.003424;0.044445;1.000000;0.044445;0.045295;1.000000;0.045295;0.015217;0.015217;0.004824;0.004994;0.164302;0.070629;0.234931;0.164302;0.070629;0.234931;0.007442;0.003139;0.010581
 All;  5; 18; 45.0000;175.0000;   369;     0;     0; 28461; 28830;0.003424;0.000000;0.003424;0.012799;1.000000;0.012799;0.014050;1.000000;0.014050;0.004382;0.004382;0.004824;0.004994;0.165357;0.070629;0.235986;0.165357;0.070629;0.235986;0.002323;0.000904;0.003227
