 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1; 27;  5.0000;265.0000;  3117;    12;   268; 40351; 43748;0.004793;0.000031;0.004824;0.071523;0.993600;0.071249;0.082196;1.000000;0.082196;0.034500;0.034367;0.000838;0.000422;0.002048;0.012265;0.014313;0.002048;0.012186;0.014234;0.000168;0.000874;0.001042
 All;  1; 28;  5.0000;275.0000;    42;     0;   247; 43460; 43749;0.004796;0.000027;0.004824;0.000960;0.994354;0.000960;0.000000;1.000000;0.000000;0.000463;0.000463;0.000838;0.000422;0.002070;0.012265;0.014335;0.002070;0.012195;0.014266;0.000000;0.000012;0.000012
 All;  1; 29;  5.0000;285.0000;  2384;     0;   192; 41169; 43745;0.004802;0.000021;0.004824;0.054498;0.995611;0.054498;0.044016;1.000000;0.044016;0.026287;0.026287;0.000838;0.000422;0.002563;0.012265;0.014827;0.002563;0.012211;0.014773;0.000113;0.000668;0.000781
 All;  1; 30;  5.0000;295.0000;  6061;    52;   178; 37456; 43747;0.004798;0.000025;0.004824;0.139735;0.994742;0.138547;0.037783;1.000000;0.037783;0.067402;0.066829;0.000838;0.000422;0.003683;0.012265;0.015948;0.003683;0.012200;0.015884;0.000139;0.001699;0.001838
 All;  1; 31;  5.0000;305.0000; 16275;   104;   180; 27188; 43747;0.004792;0.000031;0.004824;0.374403;0.993508;0.372026;0.376257;1.000000;0.376257;0.180595;0.179449;0.000838;0.000422;0.000032;0.012265;0.012296;0.000032;0.012185;0.012217;0.000012;0.004563;0.004575
 All;  1; 32;  5.0000;315.0000; 15027;    82;   147; 28492; 43748;0.004798;0.000025;0.004824;0.345364;0.994765;0.343490;1.000000;1.000000;1.000000;0.166589;0.165684;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012200;0.012200;0.000000;0.004213;0.004213
 All;  1; 33;  5.0000;325.0000;  3889;    20;   161; 39693; 43763;0.004804;0.000020;0.004824;0.089322;0.995864;0.088865;1.000000;1.000000;1.000000;0.043085;0.042865;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012214;0.012214;0.000000;0.001090;0.001090
 All;  1; 34;  5.0000;335.0000;  4357;    25;   181; 39186; 43749;0.004801;0.000023;0.004824;0.100162;0.995291;0.099591;1.000000;1.000000;1.000000;0.048314;0.048038;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012207;0.012207;0.000000;0.001221;0.001221
 All;  1; 35;  5.0000;345.0000;   967;    37;   255; 42486; 43745;0.004791;0.000032;0.004824;0.022951;0.993325;0.022105;1.000000;1.000000;1.000000;0.011071;0.010663;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012183;0.012183;0.000000;0.000271;0.000271
 All;  1; 36;  5.0000;355.0000;   662;    33;   236; 42817; 43748;0.004794;0.000030;0.004824;0.015886;0.993851;0.015132;1.000000;1.000000;1.000000;0.007663;0.007299;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012189;0.012189;0.000000;0.000186;0.000186
 All;  2;  1; 15.0000;  5.0000;  7722;     0;     0; 30883; 38605;0.004677;0.000000;0.004677;0.200026;1.000000;0.200026;1.000000;1.000000;1.000000;0.093552;0.093552;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.007064;0.007064
 All;  2;  2; 15.0000; 15.0000;  1961;     0;     0; 36641; 38602;0.004677;0.000000;0.004677;0.050800;1.000000;0.050800;1.000000;1.000000;1.000000;0.023759;0.023759;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.001794;0.001794
 All;  2;  3; 15.0000; 25.0000; 16574;     0;     0; 22028; 38602;0.004677;0.000000;0.004677;0.429356;1.000000;0.429356;1.000000;1.000000;1.000000;0.200810;0.200810;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.015162;0.015162
 All;  2;  4; 15.0000; 35.0000; 17589;     0;     0; 21011; 38600;0.004677;0.000000;0.004677;0.455674;1.000000;0.455674;1.000000;1.000000;1.000000;0.213118;0.213118;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.016092;0.016092
 All;  2;  5; 15.0000; 45.0000;  9027;     0;     0; 29573; 38600;0.004677;0.000000;0.004677;0.233860;1.000000;0.233860;1.000000;1.000000;1.000000;0.109376;0.109376;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.008259;0.008259
 All;  2;  6; 15.0000; 55.0000;  2164;     0;     0; 36428; 38592;0.004677;0.000000;0.004677;0.056074;1.000000;0.056074;1.000000;1.000000;1.000000;0.026226;0.026226;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.001980;0.001980
 All;  2;  7; 15.0000; 65.0000;  5114;     0;     0; 33485; 38599;0.004677;0.000000;0.004677;0.132490;1.000000;0.132490;0.155330;1.000000;0.155330;0.061966;0.061966;0.002412;0.001570;0.005276;0.035315;0.040591;0.005276;0.035315;0.040591;0.000820;0.004679;0.005498
 All;  2;  8; 15.0000; 75.0000;  3159;     0;     0; 35446; 38605;0.004677;0.000000;0.004677;0.081829;1.000000;0.081829;0.095212;1.000000;0.095212;0.038271;0.038271;0.002412;0.001570;0.054368;0.035315;0.089683;0.054368;0.035315;0.089683;0.005177;0.002890;0.008066
 All;  2;  9; 15.0000; 85.0000;  1259;     0;     0; 37339; 38598;0.004677;0.000000;0.004677;0.032618;1.000000;0.032618;0.018099;1.000000;0.018099;0.015256;0.015256;0.002412;0.001570;0.037325;0.035315;0.072640;0.037325;0.035315;0.072640;0.000676;0.001152;0.001827
 All;  2; 10; 15.0000; 95.0000;  1263;     0;     0; 37342; 38605;0.004677;0.000000;0.004677;0.032716;1.000000;0.032716;0.020688;1.000000;0.020688;0.015301;0.015301;0.002412;0.001570;0.031115;0.035315;0.066429;0.031115;0.035315;0.066429;0.000644;0.001155;0.001799
 All;  2; 11; 15.0000;105.0000;  5367;     0;     0; 33235; 38602;0.004677;0.000000;0.004677;0.139034;1.000000;0.139034;0.155066;1.000000;0.155066;0.065026;0.065026;0.002412;0.001570;0.031092;0.035315;0.066406;0.031092;0.035315;0.066406;0.004821;0.004910;0.009731
 All;  2; 12; 15.0000;115.0000;  6920;     0;     0; 31682; 38602;0.004677;0.000000;0.004677;0.179265;1.000000;0.179265;0.154992;1.000000;0.154992;0.083842;0.083842;0.002412;0.001570;0.033973;0.035315;0.069288;0.033973;0.035315;0.069288;0.005266;0.006331;0.011596
 All;  2; 13; 15.0000;125.0000;  1480;     0;     0; 37120; 38600;0.004677;0.000000;0.004677;0.038342;1.000000;0.038342;0.049701;1.000000;0.049701;0.017933;0.017933;0.002412;0.001570;0.041771;0.035315;0.077085;0.041771;0.035315;0.077085;0.002076;0.001354;0.003430
 All;  2; 14; 15.0000;135.0000;   531;     0;     0; 38069; 38600;0.004677;0.000000;0.004677;0.013756;1.000000;0.013756;0.009742;1.000000;0.009742;0.006434;0.006434;0.002412;0.001570;0.058129;0.035315;0.093444;0.058129;0.035315;0.093444;0.000566;0.000486;0.001052
 All;  2; 15; 15.0000;145.0000;  2959;     0;     0; 35633; 38592;0.004677;0.000000;0.004677;0.076674;1.000000;0.076674;0.087313;1.000000;0.087313;0.035860;0.035860;0.002412;0.001570;0.101794;0.035315;0.137108;0.101794;0.035315;0.137108;0.008888;0.002708;0.011596
 All;  2; 16; 15.0000;155.0000;  2604;     0;     0; 35995; 38599;0.004677;0.000000;0.004677;0.067463;1.000000;0.067463;0.057970;1.000000;0.057970;0.031552;0.031552;0.002412;0.001570;0.122074;0.035315;0.157388;0.122074;0.035315;0.157388;0.007077;0.002382;0.009459
 All;  2; 17; 15.0000;165.0000;   876;     0;     0; 37729; 38605;0.004677;0.000000;0.004677;0.022691;1.000000;0.022691;0.042961;1.000000;0.042961;0.010613;0.010613;0.002412;0.001570;0.113089;0.035315;0.148403;0.113089;0.035315;0.148403;0.004858;0.000801;0.005660
 All;  2; 18; 15.0000;175.0000;  1136;     0;     0; 37462; 38598;0.004677;0.000000;0.004677;0.029432;1.000000;0.029432;0.088777;1.000000;0.088777;0.013765;0.013765;0.002412;0.001570;0.096509;0.035315;0.131823;0.096509;0.035315;0.131823;0.008568;0.001039;0.009607
 All;  2; 19; 15.0000;185.0000;  4513;     0;     0; 34092; 38605;0.004677;0.000000;0.004677;0.116902;1.000000;0.116902;0.188664;1.000000;0.188664;0.054675;0.054675;0.002412;0.001570;0.097192;0.035315;0.132507;0.097192;0.035315;0.132507;0.018337;0.004128;0.022465
 All;  2; 20; 15.0000;195.0000;  5511;     0;     0; 33091; 38602;0.004677;0.000000;0.004677;0.142765;1.000000;0.142765;0.221716;1.000000;0.221716;0.066771;0.066771;0.002412;0.001570;0.112690;0.035315;0.148004;0.112690;0.035315;0.148004;0.024985;0.005042;0.030027
 All;  2; 21; 15.0000;205.0000;  5510;     0;     0; 33092; 38602;0.004677;0.000000;0.004677;0.142739;1.000000;0.142739;0.084452;1.000000;0.084452;0.066759;0.066759;0.002412;0.001570;0.122119;0.035315;0.157434;0.122119;0.035315;0.157434;0.010313;0.005041;0.015354
 All;  2; 22; 15.0000;215.0000; 16904;     0;     0; 21696; 38600;0.004677;0.000000;0.004677;0.437927;1.000000;0.437927;0.381001;1.000000;0.381001;0.204819;0.204819;0.002412;0.001570;0.101689;0.035315;0.137003;0.101689;0.035315;0.137003;0.038744;0.015465;0.054209
 All;  2; 23; 15.0000;225.0000; 17310;     0;     0; 21290; 38600;0.004677;0.000000;0.004677;0.448446;1.000000;0.448446;0.527797;1.000000;0.527797;0.209738;0.209738;0.002412;0.001570;0.058307;0.035315;0.093621;0.058307;0.035315;0.093621;0.030774;0.015837;0.046611
 All;  2; 24; 15.0000;235.0000;  5220;     0;     0; 33372; 38592;0.004677;0.000000;0.004677;0.135261;1.000000;0.135261;0.126620;1.000000;0.126620;0.063262;0.063262;0.002412;0.001570;0.041756;0.035315;0.077070;0.041756;0.035315;0.077070;0.005287;0.004777;0.010064
 All;  2; 25; 15.0000;245.0000;  4625;     0;     0; 33974; 38599;0.004677;0.000000;0.004677;0.119822;1.000000;0.119822;0.100938;1.000000;0.100938;0.056041;0.056041;0.002412;0.001570;0.033992;0.035315;0.069307;0.033992;0.035315;0.069307;0.003431;0.004231;0.007663
 All;  2; 26; 15.0000;255.0000;  6139;     0;     0; 32466; 38605;0.004677;0.000000;0.004677;0.159021;1.000000;0.159021;0.172106;1.000000;0.172106;0.074374;0.074374;0.002412;0.001570;0.030852;0.035315;0.066167;0.030852;0.035315;0.066167;0.005310;0.005616;0.010926
 All;  2; 27; 15.0000;265.0000;   274;     0;     0; 38324; 38598;0.004677;0.000000;0.004677;0.007099;1.000000;0.007099;0.007328;1.000000;0.007328;0.003320;0.003320;0.002412;0.001570;0.030878;0.035315;0.066193;0.030878;0.035315;0.066193;0.000226;0.000251;0.000477
 All;  2; 28; 15.0000;275.0000;   767;     0;     0; 37838; 38605;0.004677;0.000000;0.004677;0.019868;1.000000;0.019868;0.014132;1.000000;0.014132;0.009292;0.009292;0.002412;0.001570;0.037390;0.035315;0.072705;0.037390;0.035315;0.072705;0.000528;0.000702;0.001230
 All;  2; 29; 15.0000;285.0000;  3032;     0;     0; 35570; 38602;0.004677;0.000000;0.004677;0.078545;1.000000;0.078545;0.156177;1.000000;0.156177;0.036736;0.036736;0.002412;0.001570;0.054343;0.035315;0.089658;0.054343;0.035315;0.089658;0.008487;0.002774;0.011261
 All;  2; 30; 15.0000;295.0000;   282;     0;     0; 38320; 38602;0.004677;0.000000;0.004677;0.007305;1.000000;0.007305;0.000000;1.000000;0.000000;0.003417;0.003417;0.002412;0.001570;0.005237;0.035315;0.040552;0.005237;0.035315;0.040552;0.000000;0.000258;0.000258
 All;  2; 31; 15.0000;305.0000;  1700;     0;     0; 36900; 38600;0.004677;0.000000;0.004677;0.044041;1.000000;0.044041;1.000000;1.000000;1.000000;0.020598;0.020598;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.001555;0.001555
 All;  2; 32; 15.0000;315.0000;  4524;     0;     0; 34076; 38600;0.004677;0.000000;0.004677;0.117202;1.000000;0.117202;1.000000;1.000000;1.000000;0.054815;0.054815;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.004139;0.004139
 All;  2; 33; 15.0000;325.0000;  1417;     0;     0; 37175; 38592;0.004677;0.000000;0.004677;0.036717;1.000000;0.036717;1.000000;1.000000;1.000000;0.017173;0.017173;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.001297;0.001297
 All;  2; 34; 15.0000;335.0000;  3101;     0;     0; 35498; 38599;0.004677;0.000000;0.004677;0.080339;1.000000;0.080339;1.000000;1.000000;1.000000;0.037574;0.037574;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.002837;0.002837
