 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1;  1;  5.0000;  5.0000;  1487;     4;   171; 40421; 42083;0.004804;0.000020;0.004824;0.035430;0.995842;0.035335;1.000000;1.000000;1.000000;0.017090;0.017044;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012214;0.012214;0.000000;0.000433;0.000433
 All;  1;  2;  5.0000; 15.0000; 14399;   120;   140; 27435; 42094;0.004794;0.000030;0.004824;0.344919;0.993823;0.342068;1.000000;1.000000;1.000000;0.166374;0.164998;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012189;0.012189;0.000000;0.004195;0.004195
 All;  1;  3;  5.0000; 25.0000; 34632;   300;    16;  7140; 42088;0.004787;0.000036;0.004824;0.829975;0.992492;0.822847;1.000000;1.000000;1.000000;0.400344;0.396905;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012173;0.012173;0.000000;0.010092;0.010092
 All;  1;  4;  5.0000; 35.0000; 15747;    34;   199; 26116; 42096;0.004797;0.000027;0.004824;0.374881;0.994465;0.374074;1.000000;1.000000;1.000000;0.180826;0.180437;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012197;0.012197;0.000000;0.004588;0.004588
 All;  1;  5;  5.0000; 45.0000;  4484;    18;   207; 37395; 42104;0.004798;0.000026;0.004824;0.106926;0.994656;0.106498;1.000000;1.000000;1.000000;0.051576;0.051370;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012199;0.012199;0.000000;0.001306;0.001306
 All;  1;  6;  5.0000; 55.0000;   733;    10;   194; 41150; 42087;0.004800;0.000023;0.004824;0.017654;0.995153;0.017416;0.000047;1.000000;0.000047;0.008515;0.008401;0.000838;0.000422;0.000033;0.012265;0.012297;0.000033;0.012205;0.012238;0.000000;0.000214;0.000214
 All;  1;  7;  5.0000; 65.0000;  5844;     3;   208; 36034; 42089;0.004799;0.000024;0.004824;0.138920;0.994987;0.138849;0.279292;1.000000;0.279292;0.067009;0.066974;0.000838;0.000422;0.003633;0.012265;0.015897;0.003633;0.012203;0.015836;0.001015;0.001703;0.002718
 All;  1;  8;  5.0000; 75.0000; 10931;    99;   148; 30919; 42097;0.004795;0.000028;0.004824;0.262014;0.994133;0.259662;0.278146;1.000000;0.278146;0.126384;0.125250;0.000838;0.000422;0.002616;0.012265;0.014880;0.002616;0.012193;0.014808;0.000728;0.003185;0.003912
 All;  1;  9;  5.0000; 85.0000; 30933;    96;   108; 10956; 42093;0.004800;0.000023;0.004824;0.737153;0.995154;0.734873;0.845688;1.000000;0.845688;0.355570;0.354470;0.000838;0.000422;0.002079;0.012265;0.014343;0.002079;0.012205;0.014284;0.001758;0.009013;0.010771
 All;  1; 10;  5.0000; 95.0000; 10227;    70;   105; 31681; 42083;0.004804;0.000020;0.004824;0.244683;0.995842;0.243020;0.336353;1.000000;0.336353;0.118024;0.117222;0.000838;0.000422;0.001990;0.012265;0.014254;0.001990;0.012214;0.014203;0.000669;0.002981;0.003650
 All;  1; 11;  5.0000;105.0000; 15179;   173;    87; 26655; 42094;0.004794;0.000030;0.004824;0.364708;0.993823;0.360598;0.275716;1.000000;0.275716;0.175919;0.173936;0.000838;0.000422;0.002297;0.012265;0.014562;0.002297;0.012189;0.014486;0.000633;0.004423;0.005056
 All;  1; 12;  5.0000;115.0000;  3537;    36;   280; 38235; 42088;0.004787;0.000036;0.004824;0.084894;0.992492;0.084038;0.030079;1.000000;0.030079;0.040949;0.040536;0.000838;0.000422;0.002837;0.012265;0.015102;0.002837;0.012173;0.015010;0.000085;0.001031;0.001116
 All;  1; 13;  5.0000;125.0000;  6801;    51;   182; 35062; 42096;0.004797;0.000027;0.004824;0.162771;0.994465;0.161559;0.145846;1.000000;0.145846;0.078513;0.077929;0.000838;0.000422;0.004416;0.012265;0.016680;0.004416;0.012197;0.016612;0.000644;0.001981;0.002625
 All;  1; 14;  5.0000;135.0000;   324;     0;   225; 41555; 42104;0.004798;0.000026;0.004824;0.007695;0.994656;0.007695;0.000000;1.000000;0.000000;0.003712;0.003712;0.000838;0.000422;0.010010;0.012265;0.022274;0.010010;0.012199;0.022209;0.000000;0.000094;0.000094
