DateTime, Latitude, Longitude, Altitude, Temperature
2021-02-07T09:41:59, 5.3558688, 95.4180980, 64.8, 27
2021-02-07T09:42:00, 5.3558731, 95.4181060, 65.0, 27
2021-02-07T09:42:02, 5.3558855, 95.4181060, 64.5, 27
2021-02-07T09:42:03, 5.3558879, 95.4180980, 64.5, 27
2021-02-07T09:42:04, 5.3558950, 95.4181060, 65.4, 27
2021-02-07T09:42:05, 5.3559008, 95.4181140, 65.3, 27
2021-02-07T09:42:06, 5.3559113, 95.4181140, 65.6, 27
2021-02-07T09:42:07, 5.3559151, 95.4181210, 65.5, 27
2021-02-07T09:42:08, 5.3559256, 95.4181290, 65.9, 27
2021-02-07T09:42:09, 5.3559284, 95.4181290, 66.1, 27
2021-02-07T09:42:10, 5.3559384, 95.4181290, 66.7, 27
2021-02-07T09:42:11, 5.3559432, 95.4181290, 66.6, 27
2021-02-07T09:42:12, 5.3559475, 95.4181290, 67.0, 27
2021-02-07T09:42:13, 5.3559537, 95.4181290, 67.2, 27
2021-02-07T09:42:14, 5.3559608, 95.4181370, 66.7, 27
2021-02-07T09:42:15, 5.3559685, 95.4181370, 66.6, 27
2021-02-07T09:42:16, 5.3559737, 95.4181440, 66.3, 27
2021-02-07T09:42:17, 5.3559752, 95.4181520, 66.4, 27
2021-02-07T09:42:18, 5.3559775, 95.4181520, 65.5, 27
2021-02-07T09:42:19, 5.3559804, 95.4181590, 66.3, 27
2021-02-07T09:42:20, 5.3559818, 95.4181590, 66.4, 27
2021-02-07T09:42:21, 5.3559871, 95.4181670, 66.4, 27
2021-02-07T09:42:22, 5.3559914, 95.4181670, 66.0, 27
2021-02-07T09:42:23, 5.3559971, 95.4181750, 65.4, 27
2021-02-07T09:42:24, 5.3560066, 95.4181750, 65.6, 27
2021-02-07T09:42:25, 5.3560119, 95.4181820, 66.0, 27
2021-02-07T09:42:26, 5.3560128, 95.4181900, 65.4, 27
2021-02-07T09:42:27, 5.3560143, 95.4181900, 64.9, 27
2021-02-07T09:42:28, 5.3560171, 95.4181980, 64.7, 27
2021-02-07T09:42:29, 5.3560238, 95.4182050, 64.5, 27
2021-02-07T09:42:30, 5.3560286, 95.4182130, 65.2, 27
2021-02-07T09:42:31, 5.3560319, 95.4182130, 65.8, 27
2021-02-07T09:42:32, 5.3560367, 95.4182210, 65.5, 27
2021-02-07T09:42:33, 5.3560371, 95.4182210, 65.0, 27
2021-02-07T09:42:34, 5.3560376, 95.4182280, 65.0, 27
